,City,Latitude,Longitude,Temp.(F),Humidity (%),Cloudiness(%),Wind Speed(mph),Max Temp
436,gurupa,-1.41,-51.64,78.89,72,92,4.03,78.89
437,nampula,-15.12,39.27,62.33,100,20,3.36,62.6
438,almaznyy,48.04,40.05,60.8,72,0,6.71,60.8
439,yumen,40.28,97.2,70.05,40,100,18.72,70.05
440,stokmarknes,68.56,14.91,46.99,99,96,8.01,46.99
441,inzhavino,52.32,42.49,60.15,70,0,1.36,60.15
442,araouane,18.9,-3.53,92.43,13,74,3.96,92.43
443,aksarka,66.56,67.8,49.64,95,100,10.69,49.64
444,sorland,67.67,12.69,55.63,82,99,11.56,55.63
445,langsa,4.47,97.97,93.43,51,91,2.46,93.43
446,guines,50.87,1.87,70.29,83,96,3.36,71.01
447,huarmey,-10.07,-78.15,59.5,84,25,6.85,59.5
448,huadian,42.96,126.75,86.97,46,0,12.48,86.97
449,santa cruz,-17.8,-63.17,73.4,78,40,6.93,73.4
450,yugawara,35.15,139.07,88.48,79,11,10.0,89.01
451,port said,31.26,32.28,77.0,83,20,4.7,77.0
452,ilo,-17.64,-71.34,56.97,78,64,2.68,56.97
453,kindu,-2.95,25.95,69.78,91,0,2.01,69.78
454,fortuna,40.6,-124.16,55.38,87,5,1.74,55.99
455,fomboni,-12.28,43.74,75.16,70,0,9.6,75.16
456,airai,-8.93,125.41,78.1,54,17,3.13,78.1
457,fayaoue,-20.65,166.53,75.33,81,11,5.41,75.33
458,mindif,10.4,14.44,70.86,86,100,6.93,70.86
459,inirida,3.87,-67.92,72.3,98,83,1.7,72.3
460,iranshahr,27.2,60.68,95.0,47,90,7.96,95.0
461,jiaozhou,36.28,120.0,89.6,70,9,6.71,89.6
462,ipameri,-17.72,-48.16,62.62,60,0,7.94,62.62
463,blackfoot,43.19,-112.34,73.02,17,0,3.0,75.0
464,galesong,-5.32,119.37,87.8,62,20,4.7,87.8
465,rawson,-43.3,-65.1,42.03,62,0,23.35,42.03
466,grenville,12.12,-61.62,82.4,83,20,8.05,82.4
467,juneau,58.3,-134.42,53.78,93,90,10.29,55.99
468,ucluelet,48.93,-125.55,59.0,83,83,1.01,59.0
469,finspang,58.71,15.77,47.62,93,23,2.26,50.0
470,kaili,-3.46,120.21,78.62,78,66,2.55,78.62
471,khani,41.96,42.96,69.8,94,90,13.87,69.8
472,lompoc,34.64,-120.46,57.6,82,1,6.93,59.0
473,tulum,20.22,-87.47,82.78,83,20,5.82,82.99
474,karpathos,35.51,27.21,77.0,83,0,26.4,77.0
475,kalamb,19.05,73.95,76.1,81,99,13.78,76.1
476,veraval,20.9,70.37,83.05,83,100,16.26,83.05
477,dunedin,-45.87,170.5,52.0,70,21,8.01,52.0
478,jumla,29.27,82.18,68.58,66,99,4.05,68.58
479,coos bay,43.37,-124.22,58.55,93,40,23.04,63.0
480,kaitangata,-46.28,169.85,55.0,44,10,17.0,55.0
481,west bay,19.37,-81.42,81.99,87,8,11.14,84.0
482,fairbanks,64.84,-147.72,61.25,48,90,11.41,64.4
483,luang prabang,19.89,102.13,86.0,74,75,2.24,86.0
484,sao jose da coroa grande,-8.9,-35.15,72.82,85,9,10.2,72.82
485,hervey bay,-25.3,152.85,74.8,43,0,11.41,75.99
486,carauari,-4.88,-66.9,76.05,69,7,2.19,76.05
487,santa rosa,14.31,121.11,88.84,70,100,9.17,91.0
488,miraflores,19.22,-98.81,62.29,82,90,10.29,62.6
489,saint-jerome,45.78,-74.0,70.84,94,40,3.83,73.99
490,panarukan,-7.7,113.92,89.55,51,5,6.85,89.55
491,ambulu,-8.35,113.61,85.14,65,35,6.82,85.14
492,hambantota,6.12,81.12,80.6,94,40,11.41,80.6
493,kuytun,54.34,101.5,65.43,65,93,1.81,65.43
494,los llanos de aridane,28.66,-17.92,73.4,73,8,12.75,73.4
495,rozkishne,48.5,37.59,70.3,58,20,2.82,70.3
496,malegaon,20.55,74.53,78.62,78,100,10.69,78.62
497,lata,40.16,-8.33,64.29,87,95,0.92,64.99
498,alofi,-19.06,-169.92,75.2,69,75,16.11,75.2
499,yumbe,3.47,31.25,62.51,95,1,2.33,62.51
500,ayr,55.46,-4.63,57.54,93,40,4.7,57.99
501,qasigiannguit,68.82,-51.19,39.2,69,51,16.11,39.2
502,caceres,39.52,-6.37,62.01,80,17,1.01,62.01
503,comodoro rivadavia,-45.87,-67.5,41.0,56,0,12.75,41.0
504,batemans bay,-35.72,150.18,64.0,57,0,8.37,64.0
505,remontnoye,46.56,43.65,65.12,34,43,4.47,66.2
506,lincoln,40.8,-96.67,70.5,77,1,5.82,72.0
507,the valley,18.22,-63.06,81.79,74,20,8.05,82.4
508,nosy varika,-20.58,48.53,61.36,81,0,3.44,61.36
509,woodward,36.43,-99.39,70.59,82,40,14.99,73.99
510,wuhu,31.34,118.38,87.8,79,86,4.47,87.8
511,nishihara,26.18,127.76,88.5,74,75,12.75,89.6
512,san carlos de bariloche,-41.15,-71.31,35.6,59,40,20.8,35.6
513,isla vista,34.41,-119.86,59.58,82,1,8.05,61.0
514,qui nhon,13.77,109.23,92.68,55,55,8.84,92.68
515,celestun,20.87,-90.4,81.59,82,87,15.21,81.59
516,dudinka,69.41,86.18,55.4,93,75,4.47,55.4
517,san jeronimo,-11.95,-75.28,48.6,66,52,0.51,48.6
518,xique-xique,-10.82,-42.73,72.09,62,0,18.25,72.09
519,college,64.86,-147.8,61.34,51,75,12.75,64.4
520,palmer,42.16,-72.33,70.05,73,40,4.05,75.2
521,pakokku,21.33,95.1,86.11,69,97,14.61,86.11
522,key west,24.56,-81.78,86.77,62,1,10.29,87.8
523,qarqin,37.42,66.04,94.41,13,0,7.25,94.41
524,ratnagiri,16.98,73.3,79.97,84,100,7.36,79.97
525,makakilo city,21.35,-158.09,82.92,62,90,8.05,84.2
526,griffith,41.53,-87.42,68.22,94,1,5.82,69.01
527,westport,41.14,-73.36,76.42,74,1,6.93,80.6
528,prykolotne,50.16,37.35,65.91,74,99,4.25,65.91
529,grants,35.15,-107.85,75.2,15,1,9.17,75.2
530,pahrump,36.21,-115.98,81.14,11,0,5.01,90.0
531,skjervoy,70.03,20.97,51.93,85,47,2.28,51.93
532,kangalassy,62.35,129.96,68.0,45,2,6.71,68.0
533,cartagena,10.4,-75.51,82.02,82,100,10.83,82.02
534,bac lieu,9.29,105.72,85.82,71,100,9.71,85.82
535,san bartolome de tirajana,27.92,-15.57,71.58,69,75,24.16,73.4
536,auki,-8.77,160.7,86.45,62,92,5.23,86.45
537,ziarat,30.38,67.73,70.65,41,10,2.48,70.65
538,novo aripuana,-5.12,-60.38,76.64,56,21,2.33,76.64
539,iqaluit,63.75,-68.51,41.0,86,75,1.3,41.0
540,tahta,26.77,31.5,82.4,39,33,6.93,82.4
541,kashan,33.98,51.44,86.68,19,0,5.01,86.68
542,shingu,33.73,135.98,86.0,89,75,8.05,86.0
543,chapais,49.78,-74.85,68.0,88,40,8.05,68.0
544,tazovskiy,67.47,78.7,61.3,71,0,15.68,61.3
545,argentan,48.75,-0.02,62.91,100,40,5.82,64.4
546,ola,59.58,151.28,60.96,69,90,7.72,60.96
547,roald,62.58,6.13,56.82,93,89,2.24,57.2
548,vila franca do campo,37.72,-25.43,69.8,77,20,11.41,69.8
549,berdigestyakh,62.1,126.7,66.29,47,58,6.62,66.29
550,shimoda,34.67,138.95,88.41,79,20,20.8,89.01
551,kampot,10.62,104.18,86.77,74,20,12.75,87.8
552,marsa matruh,31.35,27.25,77.0,78,2,5.26,77.0
553,ouro preto do oeste,-10.75,-62.22,75.06,45,0,1.88,75.06
554,vysokogornyy,50.12,139.15,71.19,83,93,3.42,71.19
555,villarrobledo,39.27,-2.6,68.72,70,41,8.01,69.01
556,san rafael,-34.62,-68.33,42.03,51,0,6.44,42.03
557,bilma,18.69,12.92,87.58,46,83,8.57,87.58
558,haslett,42.75,-84.4,69.15,88,1,8.05,69.8
559,moron,-34.65,-58.62,49.8,43,0,4.0,52.0
560,japura,-0.32,102.35,89.08,60,99,4.21,89.08
561,salto,-31.38,-57.97,59.0,31,96,17.0,59.0
562,olafsvik,64.89,-23.71,51.35,96,100,12.39,51.35
563,santo antonio do amparo,-20.95,-44.92,57.9,67,56,3.33,57.9
564,heinola,61.21,26.04,53.83,81,20,8.05,54.0
565,narrabri,-30.32,149.78,63.66,45,35,5.82,64.99
566,mount gambier,-37.83,140.77,59.0,67,99,19.46,59.0
567,zadar,44.12,15.24,68.0,82,0,3.36,68.0
568,akureyri,65.68,-18.09,59.0,67,96,10.29,59.0
569,flinders,-34.58,150.86,61.12,65,55,4.0,62.01
570,oak ridge,36.01,-84.27,73.72,88,75,1.43,75.2
571,moosomin,50.13,-101.67,61.43,56,41,10.09,61.43
572,finote selam,10.7,37.27,57.36,87,91,1.16,57.36
573,xinyang,32.12,114.07,88.74,66,49,5.66,88.74
574,havre-saint-pierre,50.23,-63.6,57.2,93,1,2.1,57.2
575,bajil,15.06,43.29,86.2,66,90,9.53,86.2
576,namie,37.48,141.0,94.64,54,78,5.01,96.01
577,kaifeng,34.79,114.35,87.8,79,75,4.47,87.8
578,tateyama,34.98,139.87,87.8,79,20,17.22,87.8
579,portree,57.41,-6.19,55.0,91,100,3.85,55.0
580,mahibadhoo,3.78,72.97,82.49,75,100,9.01,82.49
581,uruzgan,32.83,66.0,82.06,16,0,5.84,82.06
582,koumac,-20.57,164.28,73.62,69,29,8.68,73.62
583,ahar,38.48,47.07,66.09,66,0,6.55,66.09
584,porto novo,6.5,2.6,72.57,87,100,6.35,72.57
585,saint-pierre,-21.34,55.48,61.36,52,90,11.41,66.2
586,torrington,41.8,-73.12,70.84,93,4,3.96,73.99
587,gigmoto,13.78,124.39,87.67,64,100,7.43,87.67
588,wicklow,53.0,-6.42,55.71,93,20,4.7,57.0
589,ilula,-7.68,36.04,57.2,76,5,3.42,57.2
590,araceli,10.55,119.99,84.0,79,100,11.74,84.0
591,songea,-10.68,35.65,53.73,77,0,0.76,53.73
592,lichinga,-13.31,35.24,53.31,58,0,8.05,53.6
593,kamaishi,39.27,141.88,93.2,59,75,8.05,93.2
594,waipawa,-41.41,175.52,54.05,71,92,13.87,55.4
595,shedok,44.22,40.85,64.56,88,100,4.29,64.56
596,gusau,12.16,6.66,71.96,87,100,10.56,71.96
597,mala,-12.66,-76.63,59.38,78,36,7.45,59.38
598,cubuk,40.24,33.03,60.8,72,0,4.29,60.8
599,kalaleh,37.38,55.49,75.2,73,40,3.71,75.2
600,sterling,39.01,-77.43,75.88,83,1,5.06,78.01
601,chicontepec,20.97,-98.17,69.93,99,77,2.42,69.93
602,salisbury,51.07,-1.8,65.8,93,5,2.24,66.2
603,necochea,-38.55,-58.74,41.0,81,69,8.01,41.0
604,miguel calmon,-11.43,-40.59,64.4,91,52,5.95,64.4
605,vytegra,61.01,36.45,54.19,94,100,5.82,54.19
606,muisne,0.6,-80.03,73.29,83,99,6.11,73.29
607,kamenskiy,50.89,45.49,60.55,66,0,3.69,60.55
608,sisimiut,66.94,-53.67,42.17,81,100,6.4,42.17
609,porecatu,-22.76,-51.38,71.6,33,0,4.7,71.6
610,nueve de julio,-35.44,-60.88,44.01,39,3,5.99,44.01
611,paamiut,61.99,-49.67,40.87,75,0,4.36,40.87
612,avera,33.19,-82.53,71.73,85,1,5.82,72.0
613,yuryevets,57.32,43.1,57.45,90,95,7.4,57.45
614,sayyan,15.17,44.32,65.34,56,97,3.58,65.34
615,la sarre,48.8,-79.2,66.22,94,68,8.97,66.22
616,corrales,35.24,-106.61,81.55,15,1,4.38,84.99
617,luderitz,-26.65,15.16,51.8,81,0,12.75,51.8
618,tubuala,9.52,-79.03,80.08,88,20,5.82,80.6
619,yeniseysk,58.45,92.17,79.75,43,32,3.11,79.75
